Series Name,Series Code,Country Name,Country Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Tajikistan,TJK,14264232030.9071,11924897999.9647,9384894962.90865,8219636163.18866,6846957052.54561,6962032088.8226,7331915640.10673,7603163577.7151,8236075585.78988,9025160495.19604,9999878167.94802,11099864674.2291,12243150618.1285,13063441527.9226,13977882854.356,15068157733.5905,16258541934.0985,16892625256.2195,17990645743.4502,19321953636.3316,20771100055.3391,22308161406.8841,23802808375.1079,25230976702.4474,26971913999.0354,28886920271.4198,31082326035.0369
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Tanzania,TZA,35026801031.6384,35449154481.6325,36004877322.6786,37290219711.4392,38984824076.3519,40359147577.4525,41855871245.4403,43891683796.3581,45875932293.4154,48660972193.5007,52112589832.0703,55589953426.0565,59761320500.9934,64229267614.3385,68424865572.2764,73056226685.3248,77210508276.6666,81278811220.217,86429062134.7592,93060034122.7453,97247878561.0909,103842826690.531,110834005400.461,117662077028.613,125742068577.319,134274523119.768,141585727399.869
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Thailand,THA,471304386649.875,510196028341.09,550996530578.624,595739186408.526,629410034380.547,612078756062.469,565352447846.544,591202101640.778,617541615794.353,638811286780.735,678092023109.768,726841708472.143,772555270354.95,804907091740.389,844893353918.06,890814589326.528,906187366438.26,899929071266.833,967544256907.657,975672906627.678,1046338906857.69,1074459218555.59,1085036935014.56,1119042505228.28,1157483380202.26,1205839343826.68,1256359014076.69
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Timor-Leste,TLS,..,..,..,..,..,..,..,..,2058860830.20317,2395437032.99891,2234926234.86787,2186154059.06186,2194898732.65969,2260474636.46075,2167356521.75068,2389779747.4133,2661988619.16798,2932028877.14393,3205570416.58388,3396495707.72033,3561340024.68616,3670611357.43211,3836230797.43937,3942152164.60692,4075606100.00449,3950440170.81798,3923279216.60112
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Togo,TGO,6431503388.47793,5460614732.20529,6278746657.4545,6771366591.93971,7369698874.34914,8429268307.32938,8235405540.68822,8439787835.94225,8373663819.42507,8442615812.00688,8765682854.97992,9354751769.23215,9263200056.45464,8830951409.42805,9064983287.42332,8958458820.37638,9322374067.08218,9838638843.48762,10438722924.6315,11106613195.9474,11833375211.1376,12556671701.5894,13300100571.5317,14063907851.4537,14845731642.3475,15491186678.2794,16262061139.0691
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Tonga,TON,381895446.402415,396170909.693704,415791358.464142,446470672.810282,454531840.182429,460092808.242001,471405382.046928,488898674.647148,493181378.455238,511670381.865146,536476227.545405,548858342.940062,535627011.523159,536061050.946483,535264274.872485,536715351.116588,562210240.863443,532980317.423143,537262761.948422,573894820.679488,578618564.54676,580425636.088487,592142691.076439,599081941.73131,638447619.124322,659659610.60098,661638651.466195
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Trinidad and Tobago,TTO,13974165548.9511,13880662343.7736,14375810638.86,14923516537.8958,15988231462.249,17191002872.4664,18587696902.4879,20079325683.0392,21465072151.8191,22359848832.19,24134485120.4873,27619743592.0219,29815527434.7109,31666755011.5898,35849318571.8773,37553670353.1378,38827392114.6828,37122198179.1558,38355852242.0422,38242950099.8415,38728621938.3116,39591911892.1715,39230617892.1445,39812714360.0583,37582478505.365,36459762017.8677,36483843608.4991
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Tunisia,TUN,53509598117.9063,54681366755.7382,56419365545.329,57746162775.6055,61872750248.788,65239211592.4151,68360100578.7795,72499054823.2205,75913740660.2534,78795632397.0819,79837749664.9211,83592039725.0535,88804664293.0494,91900879427.8825,96720253226.796,103209718947.106,107583521371.582,110857772152.393,114750170412.191,112840510601.241,117256271073.325,119769148498.848,123010830532.031,124241161221.563,125629464081.914,128448841730.819,131674072781.662
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Turkey,TUR,720448034016.13,775571423748.613,739366606775.355,797615881250.547,856477257076.237,921378222805.483,943529539715.799,912740581874.789,976023074296.955,919901683550.057,979214387209.344,1035648530177.5,1137100001409.4,1239351500966.41,1325461495593.74,1392311251253.93,1403658930084.4,1335958298911.15,1448540898468.99,1610779080942.57,1687911119825.11,1831144168517.56,1921597474636.28,2038516821336.51,2106258451913.1,2264269908091.15,2331742552755.64
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Turkmenistan,TKM,21539961242.8807,21863060698.9858,18080781703.1233,16778958019.229,17903146891.1557,15862188104.8054,16988403514.7911,19791490009.3185,20873899290.7111,21780629270.4636,21836644676.4873,22550447154.1205,23678061390.8425,26764268169.0701,29701193836.2995,32985937808.9547,37834870666.871,40142797821.0059,43835935215.7434,50279817660.8398,55860877401.8627,61558686953.4951,67899231691.5735,72312681690.0883,76796067930.5985,81787812382.0508,86858656701.7867
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,792935223.856429,785225519.786671,793634346.724072,862770182.303016,960391156.484216,1030030908.21626,1004380845.71015,1060736199.14522
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Tuvalu,TUV,24773672.6205463,25792041.7548958,28444363.0184833,27020882.7009869,25410070.2922403,27951896.6225726,32284781.6054786,31779914.9765773,31471459.1809372,31985736.7009474,34508187.667232,33357844.6246258,32906786.1495942,31662998.4940949,32340250.5048381,34394039.0938992,37139804.9703798,35493452.6081513,34524684.405764,37119543.8754042,35695731.4088098,37329462.1053158,37832667.9887272,41291668.6948969,42544756.5251391,44286546.3948485,45393710.0547197
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Uganda,UGA,17310058765.9558,18751344894.3112,19952112718.299,22251243311.7224,24269901600.863,25507667034.7752,26758885821.6273,28914032671.8286,29822484786.1567,31368381336.9416,34107683508.2819,36315562088.66,38787647140.3208,41243900152.5251,45691949358.8695,49535750770.8698,53849696407.9992,57512292851.0276,60754612566.0699,66460476474.3114,69010867754.5129,71486222590.7955,75136528810.8081,79034506631.0953,82813146623.4715,85406362066.3514,90790314035.0606
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Ukraine,UKR,701274989182.664,601693940718.727,463906028294.138,407309492842.254,366578543558.027,355581187251.287,348825144693.513,348127494404.126,368667016573.969,401109714032.477,422527557694.987,462737856922.621,517319418420.424,533207489633.128,573578872207.963,620703220152.216,634628644743.133,538568283571.868,560606521256.428,591133120595.654,592033504802.055,592302519461.599,532604970536.127,480553554880.294,492283780388.951,503901541149.965,521479452752.614
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,United Arab Emirates,ARE,212414633291.89,215093587426.624,229926760738.221,245304001445.894,259527718628.317,280784073367.273,281603946993.514,289776695167.022,321225302770.542,325719517895.225,333645761686.123,363008393120.375,397735361035.815,417045974401.753,458072120506.099,472658924099.828,487745423101.489,462173311464.892,469581256610.73,502116234355.811,524630081825.248,551140048310.714,575445794342.386,604565278498.984,622606812822.467,637384703409.743,644968661262.193
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,United Kingdom,GBR,1774485084078.42,1818666763534.25,1888612853987.15,1936426299125.83,1983453242430.37,2080821472647.71,2146450027882.53,2210631275826.27,2291813815825.91,2339315238781.37,2388984112668.27,2461367701666.11,2519348411794.58,2584682170545.18,2651473063388.92,2711647896547.77,2705149755456.56,2590252407818.98,2645462037057.95,2684021323230.37,2723473417715.04,2774947564861.64,2857950820022.01,2932903343315.73,2999288541091.92,3063306948134.75,3113879863562.9
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,United States,USA,10438231266479.2,10725468535601.7,11157575489424.8,11457069058167.2,11889294492954.1,12410256647397.4,12966410827138.5,13582734932260.6,14143360145648.7,14284559079314.7,14533352566469,14949182415099.3,15517085579083.6,16062233970920.8,16520806300529.3,16830764952336.3,16807777526679,16381405042441.5,16801386027043.2,17061947886833.7,17445764227858.7,17767129348328.8,18215922317850.4,18776155677330.2,19097495832657.7,19542979183000,20128577587582
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Uruguay,URY,38454901478.4848,39476858215.6713,42351303527.4804,41738226494.2822,44066367139.517,47833020600.8436,49994542231.771,49025041992.6726,48078892687.1007,46230677574.0132,42656118252.6399,42999621111.7939,45151391095.3424,48519744533.0914,50508363799.6715,53812373893.5871,57674027693.407,60121421699.2389,64812942531.2416,68158672844.9449,70570248494.2376,73842971037.4088,76234590698.07,76517223783.9927,77810210426.862,79076769218.66,79454682779.5513
