Series Name,Series Code,Country Name,Country Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Brunei Darussalam,BRN,72705.7280387677,70908.808193536,71176.3419341277,72446.9016285935,72695.1521137332,69939.9771764035,67986.1383522654,68540.8209299076,69022.8801555068,69483.9048609962,70771.5988195667,71483.1808953436,70616.6200359784,69787.8222042953,71843.5233564564,71051.7107888333,68856.1616923591,66851.1170370043,67753.4217667143,69388.8131973129,69090.341492818,66715.6926477592,64190.8241471541,63147.4834900843,60867.2918657417,60994.5315563275,60389.1846472589
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Bulgaria,BGR,10840.0787243148,10765.1506409655,10998.1471187993,11362.6463517232,12015.9268076552,10382.8514536395,10848.4211768635,9993.44917355681,10503.620312206,11124.5060725281,12036.183319989,12767.2686035291,13701.5014217846,14779.193046655,15904.9019574077,17078.3683006756,18250.5405209264,17767.5142399786,18160.6082442238,18661.4799578533,18911.5843050238,18911.1260053992,19202.8089285445,19988.2244923714,20740.7948473544,21469.9454411605,22206.0907800663
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Burkina Faso,BFA,1054.253612387,1061.58686401122,1046.60968094107,1076.46866323079,1162.45142237182,1201.95097754407,1254.13713889504,1309.40259006182,1296.74796014307,1343.54354257612,1362.28017545833,1426.61671204758,1447.50365577282,1527.02215854176,1574.73012209824,1590.83027032364,1632.94858853561,1631.19382841923,1716.35832279765,1775.77917858267,1834.54330775192,1883.79653969539,1907.94921260654,1925.33207544524,1981.429813531,2044.38698676758,2117.81390140299
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Burundi,BDI,1202.10629369544,1105.22868560534,1044.71606814271,947.822209399117,861.482879059719,839.196845267928,870.043800489074,850.046931139874,828.000459963366,826.028941189357,839.777900352484,804.884213731122,817.461158471719,798.704826964119,815.053628697424,815.908194131274,827.792314504817,831.564824331731,846.169136789899,852.502621649322,862.715712963336,877.272964851954,886.235416674512,825.20566069269,794.60427137057,773.572858670972,761.524125241416
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Cabo Verde,CPV,1868.63837906658,1974.24058950196,2288.24120399458,2546.6011861184,2769.27507908582,3010.83545744361,3319.83507561618,3622.653753866,4065.47941350903,4084.4440203509,4228.51308318085,4336.86517148727,4709.0372400368,4964.79745990214,5291.04755645552,6018.10724081733,6341.20448227116,6185.76091748475,6200.3435365952,6366.1285114968,6353.70770434801,6323.37646188107,6281.79397089329,6266.88177858088,6482.72154971014,6643.17989182913,6864.1852980816
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Cambodia,KHM,..,1763.81784326377,1111.16678247614,1182.44754920074,1214.92636497875,1228.29963184832,1252.33963935454,1377.49865222699,1481.65682786717,1570.0738709531,1642.6080370978,1752.04127620836,1902.0967031118,2120.55171733433,2313.34303341,2511.90102327932,2640.63162843349,2603.58359309084,2716.69973756347,2862.90804579497,3022.59672458674,3191.86174454232,3364.27806867045,3541.37667182532,3728.09961608338,3928.37393363069,4159.33819436839
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Cameroon,CMR,2968.99978740509,2656.02442209068,2630.84071719991,2633.52934006115,2671.68617774339,2719.90141167912,2775.04726920687,2825.61902585864,2858.00828716858,2903.92210428983,2954.41914798817,3033.32994776338,3160.89249490654,3144.93926373128,3176.9172817817,3224.75517367433,3226.59547889696,3219.9640467665,3223.51002354578,3242.35444347816,3300.94551925072,3372.90383467693,3470.78565817389,3570.42455108195,3634.38113680394,3665.11785084879,3711.8504390923
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Canada,CAN,..,..,..,..,..,34034.4551755858,34697.0905797393,35782.6902642664,37194.3956032859,37309.6497953194,38169.1063580352,39268.2124283808,40426.2313340311,42046.8695832654,43358.1823908414,45888.4763265252,45851.6302484565,44003.6170419636,44861.5239641879,45822.5964338567,46126.5138859002,46704.7622355677,47564.609109622,47522.1406673151,47457.5853457244,48317.0965785817,48962.3573384612
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80513.47821153,80595.6674899547,77987.9678361333,70428.4317191014,66882.5075913816,66255.631772759,65835.0878214292,65598.181191409,66326.8874800978,67241.283390426,68484.5078432413,69753.0897229101,71784.0480787384
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Central African Republic,CAF,1060.63824569914,1033.83095855892,1053.74593400989,1098.89456102112,1027.6500375198,1055.25775055814,1078.45382610606,1091.36082709233,1040.10383462572,1062.72230628262,1077.95412734811,998.99994514318,1037.84466970449,1026.91390767575,1055.08733366913,1082.68664802488,1085.44025590048,1161.19001087794,1201.35219681679,1242.71480100483,1300.28880967492,824.943275653475,822.611194894812,852.749236638592,884.495196541199,912.803045335037,933.10995060419
