Series Name,Series Code,Country Name,Country Code,1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Urban population,SP.URB.TOTL,Northern Mariana Islands,MNP,41669,41016,40640,41082,42602,44939,47652,50091,51795,52624,52755,52389,51790,51208,50654,50089,49593,49247,49086,49167,49477,49959,50475,50958,51379,51763,52121
Urban population,SP.URB.TOTL,Norway,NOR,3114713,3150384,3185372,3216511,3244905,3280785,3324794,3371823,3414033,3447513,3482266,3518773,3554092,3591141,3632998,3684159,3744286,3805760,3867496,3935476,4008535,4078226,4145335,4207493,4265348,4320306,4368945
Urban population,SP.URB.TOTL,Oman,OMN,1377323,1472107,1540156,1579776,1602539,1611480,1612534,1614259,1623166,1642020,1670102,1706322,1756547,1818148,1883098,1953732,2037908,2146325,2285973,2476787,2713213,2969753,3227644,3471482,3695354,3898848,4082791
Urban population,SP.URB.TOTL,Pakistan,PAK,35400161,36682086,38012968,39405593,40868935,42394458,43938667,45445311,46947761,48435636,49919688,51408754,52922902,54474508,56069494,57704173,59373384,61070625,62793242,64539406,66312147,68113708,69956302,71845554,73783786,75765181,77815624
Urban population,SP.URB.TOTL,Palau,PLW,11155,11514,11893,12256,12549,12803,13038,13250,13437,13591,13719,13789,13979,14077,14055,13920,13730,13555,13433,13402,13437,13530,13662,13807,13957,14134,14316
Urban population,SP.URB.TOTL,Panama,PAN,1432459,1484558,1538026,1592870,1649197,1706836,1765797,1825830,1884807,1930933,1977506,2024626,2072347,2120752,2169857,2219605,2270061,2321157,2372849,2425409,2478853,2533389,2589339,2646824,2705929,2766522,2828116
Urban population,SP.URB.TOTL,Papua New Guinea,PNG,707490,714891,722465,730390,738735,747496,756274,764537,772116,787575,802822,818125,834122,851417,870145,890076,910743,931464,951756,971385,990657,1010777,1032122,1054983,1079465,1105552,1133367
Urban population,SP.URB.TOTL,Paraguay,PRY,2230777,2316208,2402480,2490213,2579402,2669683,2760992,2852976,2945381,3038082,3131088,3209505,3283895,3356601,3427298,3496245,3564369,3632859,3702637,3774039,3846934,3918989,3990996,4063413,4136268,4209507,4283895
Urban population,SP.URB.TOTL,Peru,PER,16007186,16406528,16820249,17240503,17668538,18100963,18529232,18940926,19326872,19683542,20014062,20323597,20619827,20909079,21194851,21477302,21722216,21951814,22185856,22421439,22662395,22922694,23221643,23571250,23979739,24438509,24921877
Urban population,SP.URB.TOTL,Philippines,PHL,30439171,31119331,31802956,32491471,33183960,33879025,34576874,35277843,35981497,36689356,37399542,38104244,38793194,39459729,40099208,40715257,41319489,41929229,42597023,43505398,44437842,45385011,46329520,47262076,48177757,49096823,50026969
Urban population,SP.URB.TOTL,Poland,POL,23539562,23616843,23684074,23733222,23768665,23801620,23827143,23842562,23611695,23622394,23621395,23563051,23506503,23453429,23396235,23340838,23300939,23274004,23165018,23134846,23086831,23025350,22960228,22897449,22849639,22824769,22806875
Urban population,SP.URB.TOTL,Portugal,PRT,4889660,4961312,5040624,5124278,5210104,5299934,5393642,5491367,5597602,5704057,5800192,5886957,5966051,6041725,6117343,6193886,6267228,6337144,6403809,6457743,6494283,6520333,6546012,6578828,6617169,6659350,6706183
Urban population,SP.URB.TOTL,Puerto Rico,PRI,3343786,3377742,3414883,3452136,3496557,3534616,3560323,3583400,3596716,3602364,3604909,3605100,3603694,3596360,3579032,3555977,3533033,3511647,3491721,3449657,3406460,3366210,3310445,3251779,3188713,3112035,2988277
Urban population,SP.URB.TOTL,Qatar,QAT,464505,472408,479735,487764,498265,512082,528886,548266,570611,593524,619672,660437,731410,842875,998885,1193061,1409934,1627406,1828503,2007401,2167463,2308190,2431364,2538640,2628233,2699605,2757620
Urban population,SP.URB.TOTL,Romania,ROU,12360656,12309016,12256584,12197105,12127405,12058033,11998890,11945687,11895672,11697189,11469356,11415407,11378651,11336529,11297334,11159030,11001524,10936933,10898688,10871606,10826124,10778604,10730940,10678041,10619522,10565369,10515554
Urban population,SP.URB.TOTL,Russian Federation,RUS,109004756,108940535,108895790,108866282,108700642,108515146,108329810,107987927,107528803,107067910,106569238,106133030,105771342,105433226,105152927,105037446,105055527,105149987,105261487,105407937,105669982,105998572,106354644,106703732,107050095,107349517,107539205
Urban population,SP.URB.TOTL,Rwanda,RWA,421437,458069,503988,574136,683931,800304,922153,1054974,1184182,1302909,1413808,1446502,1467702,1495058,1529862,1569213,1612027,1656223,1700061,1743485,1787430,1832231,1880559,1933196,1990235,2051739,2117292
Urban population,SP.URB.TOTL,Samoa,WSM,35180,35674,36160,36605,36999,37347,37672,37995,38340,38706,38706,38510,38322,38133,37949,37774,37614,37464,37334,37226,37107,36970,36808,36600,36342,36047,35780
Urban population,SP.URB.TOTL,San Marino,SMR,22446,22899,23352,23764,24166,24550,24911,25272,25659,26079,26463,26840,27250,27697,28131,28567,28993,29440,29891,30376,30874,31372,31808,32185,32468,32685,32847
Urban population,SP.URB.TOTL,Sao Tome and Principe,STP,57010,59361,61701,64037,66354,68663,71008,73435,76003,78716,81916,85379,89124,93168,97568,102306,107259,112250,117155,121902,126525,131011,135469,139954,144474,149036,153638
Urban population,SP.URB.TOTL,Saudi Arabia,SAU,13454744,13888411,14285431,14663136,15019606,15360168,15704578,16078078,16499663,16978443,17510546,18084336,18680569,19286100,19893610,20507055,21137730,21801430,22508638,23264793,24058628,24865073,25648414,26382763,27058156,27679871,28257740
Urban population,SP.URB.TOTL,Senegal,SEN,3130517,3234840,3339075,3441823,3542777,3642398,3742289,3844423,3950445,4061008,4175900,4311250,4465214,4626134,4794668,4971099,5155659,5348373,5549604,5759382,5977690,6204712,6440435,6685969,6941397,7207006,7481973
Urban population,SP.URB.TOTL,Serbia,SRB,3898223,3942353,3977770,3938573,3951731,3957625,3959596,3962104,3966301,3976219,3989274,3997403,4004805,4009310,4010029,4010264,4009546,4009752,4009779,3994308,3985121,3973872,3963388,3951845,3939250,3927608,3916682
Urban population,SP.URB.TOTL,Seychelles,SYC,34930,35718,36750,37376,38024,38583,39471,40396,40917,41126,42595,42320,42382,42813,43966,44460,45755,46241,47880,46973,47790,49055,50219,51754,52859,53922,54855
Urban population,SP.URB.TOTL,Sierra Leone,SLE,1466054,1469900,1473600,1481808,1495070,1513235,1539829,1578966,1633299,1705142,1793090,1890694,1988625,2084310,2174481,2257436,2335490,2412870,2492860,2575940,2661003,2748061,2837175,2928219,3021537,3117881,3217270
Urban population,SP.URB.TOTL,Singapore,SGP,3230698,3313471,3419048,3524506,3670704,3796038,3927213,3958723,4027887,4138012,4175950,4114826,4166664,4265762,4401365,4588599,4839396,4987573,5076732,5183688,5312437,5399162,5469724,5535002,5607283,5612253,5638676
